,start,move
0,1,0
1,2,0
2,4,0
3,8,0
4,16,0
5,32,0
6,64,0
7,128,0
8,256,16842752
9,512,33685504
10,1024,67371008
11,2048,134742016
12,4096,269484032
13,8192,538968064
14,16384,1077936128
15,32768,2155872256
16,65536,16777216
17,131072,33554432
18,262144,67108864
19,524288,134217728
20,1048576,268435456
21,2097152,536870912
22,4194304,1073741824
23,8388608,2147483648
24,16777216,4294967296
25,33554432,8589934592
26,67108864,17179869184
27,134217728,34359738368
28,268435456,68719476736
29,536870912,137438953472
30,1073741824,274877906944
31,2147483648,549755813888
32,4294967296,1099511627776
33,8589934592,2199023255552
34,17179869184,4398046511104
35,34359738368,8796093022208
36,68719476736,17592186044416
37,137438953472,35184372088832
38,274877906944,70368744177664
39,549755813888,140737488355328
40,1099511627776,281474976710656
41,2199023255552,562949953421312
42,4398046511104,1125899906842624
43,8796093022208,2251799813685248
44,17592186044416,4503599627370496
45,35184372088832,9007199254740992
46,70368744177664,18014398509481984
47,140737488355328,36028797018963968
48,281474976710656,72057594037927936
49,562949953421312,144115188075855872
50,1125899906842624,288230376151711744
51,2251799813685248,576460752303423488
52,4503599627370496,1152921504606846976
53,9007199254740992,2305843009213693952
54,18014398509481984,4611686018427387904
55,36028797018963968,9223372036854775808
56,72057594037927936,0
57,144115188075855872,0
58,288230376151711744,0
59,576460752303423488,0
60,1152921504606846976,0
61,2305843009213693952,0
62,4611686018427387904,0
63,9223372036854775808,0
